A Longa Marcha - Caminhe ou Morra,2025,7.3/10,"A group of teenage boys compete in an annual contest known as ""The Long Walk,"" in which they must maintain a certain walking speed or get shot."
A Hora do Mal,2025,7.6/10,"When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance."
Superman,2025,7.2/10,"Superman must reconcile his alien Kryptonian heritage with his human upbringing as reporter Clark Kent. As the embodiment of truth, justice and the human way he soon finds himself in a world... Read all"
Uma Batalha Após a Outra,2025,8.6/10,"When their evil enemy resurfaces after 16 years, a group of ex-revolutionaries reunite to rescue one of their own's daughter."
Extermínio: A Evolução,2025,6.7/10,"A group of survivors of the rage virus live on a small island. When one of the group leaves the island on a mission into the mainland, he discovers secrets, wonders, and horrors that have mu... Read all"
A Grande Viagem da Sua Vida,2025,6.2/10,"Two strangers who meet at a mutual friend's wedding have the chance to relive important moments from their pasts, illuminating the path that led them to the present and gaining the opportuni... Read all"
Invocação do Mal 4: O Último Ritual,2025,6.4/10,Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.
GOAT,2025,5.4/10,A young athlete descends into a world of terror when he's invited to train with a legendary champion whose charisma curdles into something darker.
Demon Slayer: Kimetsu no Yaiba - Castelo Infinito,2025,8.6/10,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji be... Read all"
A Paris Errada,2025,6.1/10,"A woman joins a dating show thinking it's in Paris, France for an art opportunity, but it's actually in Paris, Texas. She tries to get eliminated until falling for the bachelor, complicating... Read all"
Deu Match: A Rainha de Apps de Namoro,2025,6.3/10,"Whitney Wolfe Herd rises from recent graduate to pioneering entrepreneur, overcoming sexism and industry resistance as she creates Bumble, a dating app that reimagines how people connect."
O Clube do Crime das Quintas-Feiras,2025,6.5/10,"Four irrepressible retirees spend their time solving cold case murders for fun, but their casual sleuthing takes a thrilling turn when they find themselves with a real whodunit on their hand... Read all"
Guerreiras do K-Pop,2025,7.6/10,A world-renowned K-Pop girl group balance their lives in the spotlight with their secret identities as demon hunters.
Relay,2024,7.1/10,A broker of lucrative payoffs between corrupt corporations and the individuals who threaten them breaks his own rules when a new client seeks his protection to stay alive.
Luta de Classes,2025,5.6/10,"When a titan music mogul is targeted with a ransom plot, he is jammed up in a life-or-death moral dilemma."
F1: O Filme,2025,7.8/10,A Formula One driver comes out of retirement to mentor and team up with a younger driver.
Corra que a Polícia Vem Aí!,2025,6.5/10,Only one man has the particular set of skills - to lead Police Squad and save the world.
Downton Abbey: O Grande Final,2025,7.7/10,"When Mary finds herself in a public scandal and the family faces financial trouble, the household grapples with the threat of social disgrace. The Crawleys must embrace change with the next ... Read all"
Drácula: Uma História de Amor Eterno,2025,6.1/10,"After his wife dies, a 15th century prince renounces God and becomes a vampire. Centuries later in 19th century London, he sees a woman resembling his late wife and pursues her, sealing his ... Read all"
No amor e na música,2025,6.4/10,"Vaani and Krish will have to navigate life, their problems, their insecurities to hopefully realise that only love can be the answer to everything."
Elio,2025,6.8/10,"Elio, a space fanatic with an active imagination, finds himself on a cosmic misadventure where he must form new bonds with alien lifeforms, navigate a crisis of intergalactic proportions and... Read all"
Pecadores,2025,7.6/10,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back."
Coração de Lutador - The Smashing Machine,2025,8.7/10,"The story of mixed-martial arts and UFC champion, Mark Kerr."
Demon Slayer: Kimetsu no Yaiba - Castelo Infinito,2025,8.6/10,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji be... Read all"
A Grande Viagem da Sua Vida,2025,6.1/10,"Two strangers who meet at a mutual friend's wedding have the chance to relive important moments from their pasts, illuminating the path that led them to the present and gaining the opportuni... Read all"
Superman,2025,7.2/10,"Superman must reconcile his alien Kryptonian heritage with his human upbringing as reporter Clark Kent. As the embodiment of truth, justice and the human way he soon finds himself in a world... Read all"
Uma Batalha Após a Outra,2025,8.6/10,"When their evil enemy resurfaces after 16 years, a group of ex-revolutionaries reunite to rescue one of their own's daughter."
Extermínio: A Evolução,2025,6.7/10,"A group of survivors of the rage virus live on a small island. When one of the group leaves the island on a mission into the mainland, he discovers secrets, wonders, and horrors that have mu... Read all"
Invocação do Mal 4: O Último Ritual,2025,6.4/10,Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.
GOAT,2025,5.4/10,A young athlete descends into a world of terror when he's invited to train with a legendary champion whose charisma curdles into something darker.
A Hora do Mal,2025,7.6/10,"When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance."
A Longa Marcha - Caminhe ou Morra,2025,7.3/10,"A group of teenage boys compete in an annual contest known as ""The Long Walk,"" in which they must maintain a certain walking speed or get shot."
A Paris Errada,2025,6.1/10,"A woman joins a dating show thinking it's in Paris, France for an art opportunity, but it's actually in Paris, Texas. She tries to get eliminated until falling for the bachelor, complicating... Read all"
O Clube do Crime das Quintas-Feiras,2025,6.5/10,"Four irrepressible retirees spend their time solving cold case murders for fun, but their casual sleuthing takes a thrilling turn when they find themselves with a real whodunit on their hand... Read all"
Deu Match: A Rainha de Apps de Namoro,2025,6.3/10,"Whitney Wolfe Herd rises from recent graduate to pioneering entrepreneur, overcoming sexism and industry resistance as she creates Bumble, a dating app that reimagines how people connect."
Guerreiras do K-Pop,2025,7.6/10,A world-renowned K-Pop girl group balance their lives in the spotlight with their secret identities as demon hunters.
F1: O Filme,2025,7.8/10,A Formula One driver comes out of retirement to mentor and team up with a younger driver.
Downton Abbey: O Grande Final,2025,7.7/10,"When Mary finds herself in a public scandal and the family faces financial trouble, the household grapples with the threat of social disgrace. The Crawleys must embrace change with the next ... Read all"
Relay,2024,7.1/10,A broker of lucrative payoffs between corrupt corporations and the individuals who threaten them breaks his own rules when a new client seeks his protection to stay alive.
Corra que a Polícia Vem Aí!,2025,6.5/10,Only one man has the particular set of skills - to lead Police Squad and save the world.
Luta de Classes,2025,5.6/10,"When a titan music mogul is targeted with a ransom plot, he is jammed up in a life-or-death moral dilemma."
No amor e na música,2025,6.4/10,"Vaani and Krish will have to navigate life, their problems, their insecurities to hopefully realise that only love can be the answer to everything."
Drácula: Uma História de Amor Eterno,2025,6.1/10,"After his wife dies, a 15th century prince renounces God and becomes a vampire. Centuries later in 19th century London, he sees a woman resembling his late wife and pursues her, sealing his ... Read all"
Coração de Lutador - The Smashing Machine,2025,8.7/10,"The story of mixed-martial arts and UFC champion, Mark Kerr."
Pecadores,2025,7.6/10,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back."
Elio,2025,6.8/10,"Elio, a space fanatic with an active imagination, finds himself on a cosmic misadventure where he must form new bonds with alien lifeforms, navigate a crisis of intergalactic proportions and... Read all"
